"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\journey-utils.test.ts", "TypeScript", 295, 0, 0, 0, 28, 47, 370
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\setup.ts", "TypeScript", 53, 0, 0, 0, 1, 6, 60
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\test-utils.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\useViewTransition.test.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 4, 21
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\test\validate.test.ts", "TypeScript", 115, 0, 0, 0, 0, 18, 133
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\book.ts", "TypeScript", 10, 0, 0, 0, 10, 9, 29
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\character.ts", "TypeScript", 9, 0, 0, 0, 13, 8, 30
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\family.ts", "TypeScript", 17, 0, 0, 0, 0, 2, 19
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\force-graph.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\herald.ts", "TypeScript", 14, 0, 0, 0, 0, 1, 15
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\index.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\planet-visuals.ts", "TypeScript", 63, 0, 0, 0, 0, 10, 73
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\planet.ts", "TypeScript", 21, 0, 0, 0, 0, 2, 23
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\relationships.ts", "TypeScript", 55, 0, 0, 0, 0, 4, 59
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\types\search.ts", "TypeScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\fly-to.ts", "TypeScript", 15, 0, 0, 0, 0, 2, 17
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\index.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\journey.ts", "TypeScript", 178, 0, 0, 0, 0, 27, 205
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\shelf-layout.ts", "TypeScript", 39, 0, 0, 0, 6, 13, 58
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\timeline-layout.ts", "TypeScript", 50, 0, 0, 0, 0, 10, 60
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\utils\validate.ts", "TypeScript", 50, 0, 0, 0, 0, 14, 64
"Total", "-", 6911, 14219, 605, 684, 218, 2006, 24643
