"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\NavigationGrid.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 4, 28
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\OrbitRing.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 5, 41
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\PlanetHero.tsx", "TypeScript JSX", 0, 359, 0, 0, 0, 21, 380
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\PlanetLabels.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 3, 41
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\PlanetPanel.tsx", "TypeScript JSX", 0, 287, 0, 0, 0, 23, 310
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\PlanetRenderer.tsx", "TypeScript JSX", 0, 395, 0, 0, 0, 24, 419
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\PlanetTooltip.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 5, 46
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\ShardIcons.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 5, 55
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\ShardLegend.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 5, 60
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\StarField.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 6, 45
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\UniverseMap.tsx", "TypeScript JSX", 0, 321, 0, 0, 0, 26, 347
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\WorldhopperDetailPanel.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 9, 89
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\WorldhopperGallery.tsx", "TypeScript JSX", 0, 122, 0, 0, 0, 11, 133
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\WorldhopperHeatmap.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 8, 65
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\WorldhopperJourneyPlayer.tsx", "TypeScript JSX", 0, 135, 0, 0, 0, 13, 148
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\WorldhopperPicker.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 4, 66
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\WorldhopperRoutes.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 13, 83
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\ZoomControls.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 4, 40
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\map\index.ts", "TypeScript", 19, 0, 0, 0, 0, 1, 20
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\mindmap\CosmereMindMap3D.tsx", "TypeScript JSX", 0, 603, 0, 0, 15, 84, 702
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\mindmap\index.ts", "TypeScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\search\SearchInput.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 3, 60
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\search\SearchResultsList.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 4, 115
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\search\index.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 3
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\timeline\CardOverlay.tsx", "TypeScript JSX", 0, 100, 0, 0, 1, 7, 108
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\timeline\Timeline.tsx", "TypeScript JSX", 0, 353, 0, 0, 11, 24, 388
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\timeline\TooltipOverlay.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 4, 39
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\timeline\index.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 4
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\BackToMapButton.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 5, 41
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\BackToTop.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 8, 49
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\Breadcrumbs.tsx", "TypeScript JSX", 0, 64, 0, 0, 0, 13, 77
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\CharacterAvatar.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 5, 42
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\CloseButton.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 4, 27
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\ColorDot.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 5, 15
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\CommandPalette.tsx", "TypeScript JSX", 0, 158, 0, 0, 0, 11, 169
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\CompareCharacterPanel.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 5, 44
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\DetailPanel.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 4, 20
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\EmptyState.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 4, 12
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\ErrorFallback.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 4, 35
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\FloatingTogglePanel.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 6, 49
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\HorizontalBar.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 6, 45
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\InfoSection.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 4, 19
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\KeyboardShortcutsHelp.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 5, 48
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\LoadingSpinner.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 3, 15
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\Overlay.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 4, 12
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\PageLayout.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\RouteFallback.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 3, 17
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\ShardCard.tsx", "TypeScript JSX", 0, 57, 0, 0, 0, 9, 66
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\ShareButton.tsx", "TypeScript JSX", 0, 56, 0, 0, 2, 7, 65
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\Skeleton.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 6, 112
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\SpoilerToggle.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 7, 112
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\ThemeToggle.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 3, 33
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\TransitionLink.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 5, 23
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\components\ui\index.ts", "TypeScript", 25, 0, 0, 0, 0, 1, 26
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\constants.ts", "TypeScript", 22, 0, 0, 0, 0, 4, 26
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\contexts\ShardThemeContext.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 7, 47
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\generated\characters.json", "JSON", 0, 0, 0, 684, 0, 1, 685
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\books.ts", "TypeScript", 248, 0, 0, 0, 8, 10, 266
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\family-data.ts", "TypeScript", 170, 0, 0, 0, 0, 15, 185
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\heralds.ts", "TypeScript", 130, 0, 0, 0, 0, 2, 132
"c:\Users\Mario\Documents\PROYECTOS\Cosmere Archive\src\data\static\index.ts", "TypeScript", 39, 0, 0, 0, 0, 7, 46
